country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Singapore,1985,male,75+ years,23,15900,144.65,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Singapore,1985,female,75+ years,19,24500,77.55,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Singapore,1985,male,55-74 years,39,122400,31.86,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Singapore,1985,female,55-74 years,25,125100,19.98,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Singapore,1985,male,25-34 years,52,280500,18.54,Singapore1985,,"19,138,296,376",8142,Boomers
Singapore,1985,male,35-54 years,49,292500,16.75,Singapore1985,,"19,138,296,376",8142,Silent
Singapore,1985,female,25-34 years,35,266700,13.12,Singapore1985,,"19,138,296,376",8142,Boomers
Singapore,1985,male,15-24 years,27,268000,10.07,Singapore1985,,"19,138,296,376",8142,Generation X
Singapore,1985,female,15-24 years,25,253400,9.87,Singapore1985,,"19,138,296,376",8142,Generation X
Singapore,1985,female,35-54 years,27,285200,9.47,Singapore1985,,"19,138,296,376",8142,Silent
Singapore,1985,female,5-14 years,3,200400,1.5,Singapore1985,,"19,138,296,376",8142,Generation X
Singapore,1985,male,5-14 years,0,215900,0,Singapore1985,,"19,138,296,376",8142,Generation X
Singapore,1986,female,75+ years,30,26000,115.38,Singapore1986,,"18,569,292,305",7805,G.I. Generation
Singapore,1986,male,75+ years,14,17200,81.4,Singapore1986,,"18,569,292,305",7805,G.I. Generation
Singapore,1986,male,55-74 years,44,125800,34.98,Singapore1986,,"18,569,292,305",7805,G.I. Generation
Singapore,1986,male,35-54 years,54,304500,17.73,Singapore1986,,"18,569,292,305",7805,Silent
Singapore,1986,male,25-34 years,46,288100,15.97,Singapore1986,,"18,569,292,305",7805,Boomers
Singapore,1986,female,55-74 years,20,128500,15.56,Singapore1986,,"18,569,292,305",7805,G.I. Generation
Singapore,1986,female,25-34 years,35,273000,12.82,Singapore1986,,"18,569,292,305",7805,Boomers
Singapore,1986,male,15-24 years,31,260000,11.92,Singapore1986,,"18,569,292,305",7805,Generation X
Singapore,1986,female,35-54 years,34,297800,11.42,Singapore1986,,"18,569,292,305",7805,Silent
Singapore,1986,female,15-24 years,16,246400,6.49,Singapore1986,,"18,569,292,305",7805,Generation X
Singapore,1986,male,5-14 years,2,213700,0.94,Singapore1986,,"18,569,292,305",7805,Generation X
Singapore,1986,female,5-14 years,0,198300,0,Singapore1986,,"18,569,292,305",7805,Generation X
Singapore,1987,male,75+ years,17,18300,92.9,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Singapore,1987,female,75+ years,16,27700,57.76,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Singapore,1987,male,55-74 years,42,128900,32.58,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Singapore,1987,female,55-74 years,29,132300,21.92,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Singapore,1987,male,25-34 years,48,293500,16.35,Singapore1987,,"20,897,630,201",8679,Boomers
Singapore,1987,male,35-54 years,43,318100,13.52,Singapore1987,,"20,897,630,201",8679,Silent
Singapore,1987,female,25-34 years,36,277400,12.98,Singapore1987,,"20,897,630,201",8679,Boomers
Singapore,1987,female,35-54 years,33,311000,10.61,Singapore1987,,"20,897,630,201",8679,Silent
Singapore,1987,male,15-24 years,21,253600,8.28,Singapore1987,,"20,897,630,201",8679,Generation X
Singapore,1987,female,15-24 years,16,240100,6.66,Singapore1987,,"20,897,630,201",8679,Generation X
Singapore,1987,female,5-14 years,0,195600,0,Singapore1987,,"20,897,630,201",8679,Generation X
Singapore,1987,male,5-14 years,0,211300,0,Singapore1987,,"20,897,630,201",8679,Generation X
Singapore,1988,male,75+ years,30,21600,138.89,Singapore1988,,"25,337,226,971",10586,G.I. Generation
Singapore,1988,female,75+ years,27,31800,84.91,Singapore1988,,"25,337,226,971",10586,G.I. Generation
Singapore,1988,male,55-74 years,43,131400,32.72,Singapore1988,,"25,337,226,971",10586,G.I. Generation
Singapore,1988,male,35-54 years,63,319100,19.74,Singapore1988,,"25,337,226,971",10586,Silent
Singapore,1988,male,25-34 years,52,288000,18.06,Singapore1988,,"25,337,226,971",10586,Boomers
Singapore,1988,female,55-74 years,23,136200,16.89,Singapore1988,,"25,337,226,971",10586,G.I. Generation
Singapore,1988,male,15-24 years,31,241600,12.83,Singapore1988,,"25,337,226,971",10586,Generation X
Singapore,1988,female,25-34 years,33,277100,11.91,Singapore1988,,"25,337,226,971",10586,Boomers
Singapore,1988,female,15-24 years,25,229800,10.88,Singapore1988,,"25,337,226,971",10586,Generation X
Singapore,1988,female,35-54 years,34,314300,10.82,Singapore1988,,"25,337,226,971",10586,Silent
Singapore,1988,female,5-14 years,4,193900,2.06,Singapore1988,,"25,337,226,971",10586,Generation X
Singapore,1988,male,5-14 years,1,208600,0.48,Singapore1988,,"25,337,226,971",10586,Generation X
Singapore,1989,male,75+ years,25,22800,109.65,Singapore1989,,"30,423,573,842",12514,G.I. Generation
Singapore,1989,female,75+ years,33,33500,98.51,Singapore1989,,"30,423,573,842",12514,G.I. Generation
Singapore,1989,male,55-74 years,41,135300,30.3,Singapore1989,,"30,423,573,842",12514,G.I. Generation
Singapore,1989,female,55-74 years,33,141000,23.4,Singapore1989,,"30,423,573,842",12514,G.I. Generation
Singapore,1989,male,35-54 years,65,336500,19.32,Singapore1989,,"30,423,573,842",12514,Silent
Singapore,1989,male,25-34 years,50,290700,17.2,Singapore1989,,"30,423,573,842",12514,Boomers
Singapore,1989,female,15-24 years,35,224700,15.58,Singapore1989,,"30,423,573,842",12514,Generation X
Singapore,1989,female,25-34 years,38,280700,13.54,Singapore1989,,"30,423,573,842",12514,Boomers
Singapore,1989,male,15-24 years,32,236800,13.51,Singapore1989,,"30,423,573,842",12514,Generation X
Singapore,1989,female,35-54 years,40,329800,12.13,Singapore1989,,"30,423,573,842",12514,Silent
Singapore,1989,male,5-14 years,2,207000,0.97,Singapore1989,,"30,423,573,842",12514,Generation X
Singapore,1989,female,5-14 years,0,192300,0,Singapore1989,,"30,423,573,842",12514,Generation X
Singapore,1990,male,75+ years,19,24100,78.84,Singapore1990,0.718,"36,152,027,893",14393,G.I. Generation
Singapore,1990,female,75+ years,23,35400,64.97,Singapore1990,0.718,"36,152,027,893",14393,G.I. Generation
Singapore,1990,male,55-74 years,39,140900,27.68,Singapore1990,0.718,"36,152,027,893",14393,G.I. Generation
Singapore,1990,female,55-74 years,27,147100,18.35,Singapore1990,0.718,"36,152,027,893",14393,G.I. Generation
Singapore,1990,male,35-54 years,63,359200,17.54,Singapore1990,0.718,"36,152,027,893",14393,Silent
Singapore,1990,male,25-34 years,47,299900,15.67,Singapore1990,0.718,"36,152,027,893",14393,Boomers
Singapore,1990,female,25-34 years,43,289400,14.86,Singapore1990,0.718,"36,152,027,893",14393,Boomers
Singapore,1990,male,15-24 years,31,236800,13.09,Singapore1990,0.718,"36,152,027,893",14393,Generation X
Singapore,1990,female,35-54 years,42,349400,12.02,Singapore1990,0.718,"36,152,027,893",14393,Silent
Singapore,1990,female,15-24 years,17,225500,7.54,Singapore1990,0.718,"36,152,027,893",14393,Generation X
Singapore,1990,male,5-14 years,2,209400,0.96,Singapore1990,0.718,"36,152,027,893",14393,Generation X
Singapore,1990,female,5-14 years,1,194700,0.51,Singapore1990,0.718,"36,152,027,893",14393,Generation X
Singapore,1991,male,75+ years,16,25000,64,Singapore1991,,"45,474,442,836",17768,G.I. Generation
Singapore,1991,female,75+ years,21,36700,57.22,Singapore1991,,"45,474,442,836",17768,G.I. Generation
Singapore,1991,male,55-74 years,38,144300,26.33,Singapore1991,,"45,474,442,836",17768,Silent
Singapore,1991,female,55-74 years,25,150800,16.58,Singapore1991,,"45,474,442,836",17768,Silent
Singapore,1991,male,25-34 years,44,301200,14.61,Singapore1991,,"45,474,442,836",17768,Boomers
Singapore,1991,male,35-54 years,54,379500,14.23,Singapore1991,,"45,474,442,836",17768,Boomers
Singapore,1991,male,15-24 years,25,231300,10.81,Singapore1991,,"45,474,442,836",17768,Generation X
Singapore,1991,female,25-34 years,28,292600,9.57,Singapore1991,,"45,474,442,836",17768,Boomers
Singapore,1991,female,15-24 years,16,221500,7.22,Singapore1991,,"45,474,442,836",17768,Generation X
Singapore,1991,female,35-54 years,25,369500,6.77,Singapore1991,,"45,474,442,836",17768,Boomers
Singapore,1991,female,5-14 years,4,195900,2.04,Singapore1991,,"45,474,442,836",17768,Millenials
Singapore,1991,male,5-14 years,0,211000,0,Singapore1991,,"45,474,442,836",17768,Millenials
Singapore,1992,male,75+ years,15,26000,57.69,Singapore1992,,"52,156,414,979",20029,G.I. Generation
Singapore,1992,female,75+ years,20,38200,52.36,Singapore1992,,"52,156,414,979",20029,G.I. Generation
Singapore,1992,male,55-74 years,26,147100,17.68,Singapore1992,,"52,156,414,979",20029,Silent
Singapore,1992,female,55-74 years,27,153300,17.61,Singapore1992,,"52,156,414,979",20029,Silent
Singapore,1992,male,25-34 years,43,299300,14.37,Singapore1992,,"52,156,414,979",20029,Boomers
Singapore,1992,male,35-54 years,53,400800,13.22,Singapore1992,,"52,156,414,979",20029,Boomers
Singapore,1992,female,25-34 years,28,293200,9.55,Singapore1992,,"52,156,414,979",20029,Boomers
Singapore,1992,male,15-24 years,21,228100,9.21,Singapore1992,,"52,156,414,979",20029,Generation X
Singapore,1992,female,35-54 years,32,391200,8.18,Singapore1992,,"52,156,414,979",20029,Boomers
Singapore,1992,female,15-24 years,9,220000,4.09,Singapore1992,,"52,156,414,979",20029,Generation X
Singapore,1992,male,5-14 years,2,211000,0.95,Singapore1992,,"52,156,414,979",20029,Millenials
Singapore,1992,female,5-14 years,1,195800,0.51,Singapore1992,,"52,156,414,979",20029,Millenials
Singapore,1993,male,75+ years,26,26800,97.01,Singapore1993,,"60,644,572,348",22835,G.I. Generation
Singapore,1993,female,75+ years,20,39500,50.63,Singapore1993,,"60,644,572,348",22835,G.I. Generation
Singapore,1993,male,55-74 years,31,151200,20.5,Singapore1993,,"60,644,572,348",22835,Silent
Singapore,1993,male,35-54 years,56,420500,13.32,Singapore1993,,"60,644,572,348",22835,Boomers
Singapore,1993,female,55-74 years,21,157900,13.3,Singapore1993,,"60,644,572,348",22835,Silent
Singapore,1993,male,25-34 years,36,296600,12.14,Singapore1993,,"60,644,572,348",22835,Boomers
Singapore,1993,male,15-24 years,19,224300,8.47,Singapore1993,,"60,644,572,348",22835,Generation X
Singapore,1993,female,35-54 years,28,411300,6.81,Singapore1993,,"60,644,572,348",22835,Boomers
Singapore,1993,female,25-34 years,19,292900,6.49,Singapore1993,,"60,644,572,348",22835,Boomers
Singapore,1993,female,15-24 years,13,217700,5.97,Singapore1993,,"60,644,572,348",22835,Generation X
Singapore,1993,female,5-14 years,1,200800,0.5,Singapore1993,,"60,644,572,348",22835,Millenials
Singapore,1993,male,5-14 years,0,216300,0,Singapore1993,,"60,644,572,348",22835,Millenials
Singapore,1994,male,75+ years,24,27500,87.27,Singapore1994,,"73,777,792,327",27202,G.I. Generation
Singapore,1994,female,75+ years,23,40500,56.79,Singapore1994,,"73,777,792,327",27202,G.I. Generation
Singapore,1994,male,55-74 years,37,157700,23.46,Singapore1994,,"73,777,792,327",27202,Silent
Singapore,1994,female,55-74 years,26,165300,15.73,Singapore1994,,"73,777,792,327",27202,Silent
Singapore,1994,male,35-54 years,69,439100,15.71,Singapore1994,,"73,777,792,327",27202,Boomers
Singapore,1994,male,25-34 years,35,291200,12.02,Singapore1994,,"73,777,792,327",27202,Boomers
Singapore,1994,male,15-24 years,24,222900,10.77,Singapore1994,,"73,777,792,327",27202,Generation X
Singapore,1994,female,35-54 years,39,429400,9.08,Singapore1994,,"73,777,792,327",27202,Boomers
Singapore,1994,female,15-24 years,19,216300,8.78,Singapore1994,,"73,777,792,327",27202,Generation X
Singapore,1994,female,25-34 years,17,291500,5.83,Singapore1994,,"73,777,792,327",27202,Boomers
Singapore,1994,female,5-14 years,2,207500,0.96,Singapore1994,,"73,777,792,327",27202,Millenials
Singapore,1994,male,5-14 years,1,223300,0.45,Singapore1994,,"73,777,792,327",27202,Millenials
Singapore,1995,male,75+ years,32,28200,113.48,Singapore1995,0.773,"87,890,009,877",31783,G.I. Generation
Singapore,1995,female,75+ years,24,41800,57.42,Singapore1995,0.773,"87,890,009,877",31783,G.I. Generation
Singapore,1995,male,55-74 years,46,164600,27.95,Singapore1995,0.773,"87,890,009,877",31783,Silent
Singapore,1995,male,35-54 years,92,457000,20.13,Singapore1995,0.773,"87,890,009,877",31783,Boomers
Singapore,1995,female,55-74 years,28,172900,16.19,Singapore1995,0.773,"87,890,009,877",31783,Silent
Singapore,1995,female,35-54 years,50,447500,11.17,Singapore1995,0.773,"87,890,009,877",31783,Boomers
Singapore,1995,male,25-34 years,31,286200,10.83,Singapore1995,0.773,"87,890,009,877",31783,Generation X
Singapore,1995,male,15-24 years,23,221900,10.37,Singapore1995,0.773,"87,890,009,877",31783,Generation X
Singapore,1995,female,15-24 years,16,215400,7.43,Singapore1995,0.773,"87,890,009,877",31783,Generation X
Singapore,1995,female,25-34 years,20,289600,6.91,Singapore1995,0.773,"87,890,009,877",31783,Generation X
Singapore,1995,male,5-14 years,2,228000,0.88,Singapore1995,0.773,"87,890,009,877",31783,Millenials
Singapore,1995,female,5-14 years,0,212200,0,Singapore1995,0.773,"87,890,009,877",31783,Millenials
Singapore,1996,male,75+ years,26,28800,90.28,Singapore1996,,"96,403,758,865",34148,G.I. Generation
Singapore,1996,female,75+ years,21,42600,49.3,Singapore1996,,"96,403,758,865",34148,G.I. Generation
Singapore,1996,male,55-74 years,21,171300,12.26,Singapore1996,,"96,403,758,865",34148,Silent
Singapore,1996,male,25-34 years,34,283600,11.99,Singapore1996,,"96,403,758,865",34148,Generation X
Singapore,1996,male,35-54 years,50,475400,10.52,Singapore1996,,"96,403,758,865",34148,Boomers
Singapore,1996,female,55-74 years,19,180800,10.51,Singapore1996,,"96,403,758,865",34148,Silent
Singapore,1996,male,15-24 years,20,220500,9.07,Singapore1996,,"96,403,758,865",34148,Generation X
Singapore,1996,female,25-34 years,17,289000,5.88,Singapore1996,,"96,403,758,865",34148,Generation X
Singapore,1996,female,35-54 years,21,465900,4.51,Singapore1996,,"96,403,758,865",34148,Boomers
Singapore,1996,female,15-24 years,6,213600,2.81,Singapore1996,,"96,403,758,865",34148,Generation X
Singapore,1996,female,5-14 years,3,217600,1.38,Singapore1996,,"96,403,758,865",34148,Millenials
Singapore,1996,male,5-14 years,1,234000,0.43,Singapore1996,,"96,403,758,865",34148,Millenials
Singapore,1997,male,75+ years,24,29500,81.36,Singapore1997,,"100,163,995,151",34779,G.I. Generation
Singapore,1997,female,75+ years,15,43700,34.32,Singapore1997,,"100,163,995,151",34779,G.I. Generation
Singapore,1997,male,55-74 years,36,176100,20.44,Singapore1997,,"100,163,995,151",34779,Silent
Singapore,1997,male,25-34 years,44,282000,15.6,Singapore1997,,"100,163,995,151",34779,Generation X
Singapore,1997,male,35-54 years,74,495200,14.94,Singapore1997,,"100,163,995,151",34779,Boomers
Singapore,1997,female,25-34 years,29,289500,10.02,Singapore1997,,"100,163,995,151",34779,Generation X
Singapore,1997,female,55-74 years,18,186200,9.67,Singapore1997,,"100,163,995,151",34779,Silent
Singapore,1997,female,35-54 years,34,485900,7,Singapore1997,,"100,163,995,151",34779,Boomers
Singapore,1997,male,15-24 years,15,218600,6.86,Singapore1997,,"100,163,995,151",34779,Generation X
Singapore,1997,female,15-24 years,10,211600,4.73,Singapore1997,,"100,163,995,151",34779,Generation X
Singapore,1997,male,5-14 years,3,238600,1.26,Singapore1997,,"100,163,995,151",34779,Millenials
Singapore,1997,female,5-14 years,1,223100,0.45,Singapore1997,,"100,163,995,151",34779,Millenials
Singapore,1998,male,75+ years,20,30200,66.23,Singapore1998,,"85,707,636,233",29150,G.I. Generation
Singapore,1998,female,75+ years,20,45000,44.44,Singapore1998,,"85,707,636,233",29150,G.I. Generation
Singapore,1998,male,55-74 years,45,180700,24.9,Singapore1998,,"85,707,636,233",29150,Silent
Singapore,1998,female,55-74 years,35,191000,18.32,Singapore1998,,"85,707,636,233",29150,Silent
Singapore,1998,male,25-34 years,41,281300,14.58,Singapore1998,,"85,707,636,233",29150,Generation X
Singapore,1998,male,35-54 years,69,515800,13.38,Singapore1998,,"85,707,636,233",29150,Boomers
Singapore,1998,male,15-24 years,22,216100,10.18,Singapore1998,,"85,707,636,233",29150,Generation X
Singapore,1998,female,25-34 years,24,291400,8.24,Singapore1998,,"85,707,636,233",29150,Generation X
Singapore,1998,female,15-24 years,15,209400,7.16,Singapore1998,,"85,707,636,233",29150,Generation X
Singapore,1998,female,35-54 years,34,507300,6.7,Singapore1998,,"85,707,636,233",29150,Boomers
Singapore,1998,male,5-14 years,3,243800,1.23,Singapore1998,,"85,707,636,233",29150,Millenials
Singapore,1998,female,5-14 years,0,228200,0,Singapore1998,,"85,707,636,233",29150,Millenials
Singapore,1999,male,75+ years,21,31400,66.88,Singapore1999,,"86,283,126,844",28789,G.I. Generation
Singapore,1999,male,55-74 years,43,186300,23.08,Singapore1999,,"86,283,126,844",28789,Silent
Singapore,1999,female,75+ years,8,46100,17.35,Singapore1999,,"86,283,126,844",28789,G.I. Generation
Singapore,1999,male,35-54 years,75,535500,14.01,Singapore1999,,"86,283,126,844",28789,Boomers
Singapore,1999,male,25-34 years,31,277300,11.18,Singapore1999,,"86,283,126,844",28789,Generation X
Singapore,1999,female,55-74 years,16,197700,8.09,Singapore1999,,"86,283,126,844",28789,Silent
Singapore,1999,female,35-54 years,39,527100,7.4,Singapore1999,,"86,283,126,844",28789,Boomers
Singapore,1999,male,15-24 years,15,214200,7,Singapore1999,,"86,283,126,844",28789,Generation X
Singapore,1999,female,25-34 years,16,289800,5.52,Singapore1999,,"86,283,126,844",28789,Generation X
Singapore,1999,female,15-24 years,8,207400,3.86,Singapore1999,,"86,283,126,844",28789,Generation X
Singapore,1999,female,5-14 years,3,234400,1.28,Singapore1999,,"86,283,126,844",28789,Millenials
Singapore,1999,male,5-14 years,2,249900,0.8,Singapore1999,,"86,283,126,844",28789,Millenials
Singapore,2000,male,75+ years,16,32600,49.08,Singapore2000,0.819,"95,833,932,715",31446,G.I. Generation
Singapore,2000,male,55-74 years,48,189200,25.37,Singapore2000,0.819,"95,833,932,715",31446,Silent
Singapore,2000,female,75+ years,11,47400,23.21,Singapore2000,0.819,"95,833,932,715",31446,G.I. Generation
Singapore,2000,male,35-54 years,87,555800,15.65,Singapore2000,0.819,"95,833,932,715",31446,Boomers
Singapore,2000,male,25-34 years,34,271100,12.54,Singapore2000,0.819,"95,833,932,715",31446,Generation X
Singapore,2000,female,35-54 years,44,548100,8.03,Singapore2000,0.819,"95,833,932,715",31446,Boomers
Singapore,2000,female,55-74 years,16,201600,7.94,Singapore2000,0.819,"95,833,932,715",31446,Silent
Singapore,2000,female,15-24 years,16,208300,7.68,Singapore2000,0.819,"95,833,932,715",31446,Generation X
Singapore,2000,male,15-24 years,14,215200,6.51,Singapore2000,0.819,"95,833,932,715",31446,Generation X
Singapore,2000,female,25-34 years,17,286400,5.94,Singapore2000,0.819,"95,833,932,715",31446,Generation X
Singapore,2000,male,5-14 years,5,253800,1.97,Singapore2000,0.819,"95,833,932,715",31446,Millenials
Singapore,2000,female,5-14 years,1,238100,0.42,Singapore2000,0.819,"95,833,932,715",31446,Millenials
Singapore,2001,male,75+ years,18,34800,51.72,Singapore2001,,"89,286,208,629",28774,Silent
Singapore,2001,female,75+ years,12,50200,23.9,Singapore2001,,"89,286,208,629",28774,Silent
Singapore,2001,male,55-74 years,40,194800,20.53,Singapore2001,,"89,286,208,629",28774,Silent
Singapore,2001,male,25-34 years,43,265800,16.18,Singapore2001,,"89,286,208,629",28774,Generation X
Singapore,2001,male,35-54 years,65,573200,11.34,Singapore2001,,"89,286,208,629",28774,Boomers
Singapore,2001,male,15-24 years,21,216300,9.71,Singapore2001,,"89,286,208,629",28774,Millenials
Singapore,2001,female,55-74 years,20,207900,9.62,Singapore2001,,"89,286,208,629",28774,Silent
Singapore,2001,female,35-54 years,44,566000,7.77,Singapore2001,,"89,286,208,629",28774,Boomers
Singapore,2001,female,15-24 years,16,209200,7.65,Singapore2001,,"89,286,208,629",28774,Millenials
Singapore,2001,female,25-34 years,21,283700,7.4,Singapore2001,,"89,286,208,629",28774,Generation X
Singapore,2001,male,5-14 years,3,258300,1.16,Singapore2001,,"89,286,208,629",28774,Millenials
Singapore,2001,female,5-14 years,2,242800,0.82,Singapore2001,,"89,286,208,629",28774,Millenials
Singapore,2002,male,75+ years,19,37200,51.08,Singapore2002,,"91,941,192,896",29048,Silent
Singapore,2002,female,75+ years,19,53600,35.45,Singapore2002,,"91,941,192,896",29048,Silent
Singapore,2002,male,55-74 years,33,206500,15.98,Singapore2002,,"91,941,192,896",29048,Silent
Singapore,2002,male,35-54 years,87,582400,14.94,Singapore2002,,"91,941,192,896",29048,Boomers
Singapore,2002,male,25-34 years,38,265900,14.29,Singapore2002,,"91,941,192,896",29048,Generation X
Singapore,2002,female,15-24 years,20,209600,9.54,Singapore2002,,"91,941,192,896",29048,Millenials
Singapore,2002,female,35-54 years,52,576200,9.02,Singapore2002,,"91,941,192,896",29048,Boomers
Singapore,2002,female,55-74 years,18,220400,8.17,Singapore2002,,"91,941,192,896",29048,Silent
Singapore,2002,female,25-34 years,20,286100,6.99,Singapore2002,,"91,941,192,896",29048,Generation X
Singapore,2002,male,15-24 years,15,216400,6.93,Singapore2002,,"91,941,192,896",29048,Millenials
Singapore,2002,female,5-14 years,0,247700,0,Singapore2002,,"91,941,192,896",29048,Millenials
Singapore,2002,male,5-14 years,0,263200,0,Singapore2002,,"91,941,192,896",29048,Millenials
Singapore,2003,male,75+ years,22,39400,55.84,Singapore2003,,"97,001,377,569",30067,Silent
Singapore,2003,female,75+ years,16,57000,28.07,Singapore2003,,"97,001,377,569",30067,Silent
Singapore,2003,male,55-74 years,39,218800,17.82,Singapore2003,,"97,001,377,569",30067,Silent
Singapore,2003,male,25-34 years,38,263800,14.4,Singapore2003,,"97,001,377,569",30067,Generation X
Singapore,2003,male,35-54 years,76,592400,12.83,Singapore2003,,"97,001,377,569",30067,Boomers
Singapore,2003,female,55-74 years,26,232800,11.17,Singapore2003,,"97,001,377,569",30067,Silent
